name,ID,ALIGN,EYE,HAIR,ALIVE,APPEARANCES,FIRST APPEARANCE,YEAR,Brand
Alexander Luthor,Public Identity,Bad Characters,Green,,Living Characters,677,"1986, October",1986,DC
Samuel Guthrie,Secret Identity,Good Characters,Blue,Blond,Living Characters,657,Nov-82,1982,Marvel
Roy Harper,Secret Identity,Neutral Characters,Green,Red,Living Characters,654,"1941, November",1941,DC
James Buchanan Barnes,Secret Identity,Good Characters,Brown,Brown,Living Characters,641,Mar-41,1941,Marvel
Remy LeBeau,Secret Identity,Good Characters,Black Eyeballs,Brown,Living Characters,636,Jul-90,1990,Marvel
Kara Zor-L (Earth-Two),Secret Identity,Good Characters,Blue,Blond,Living Characters,635,"1976, February",1976,DC
Daniel Rand,Secret Identity,Good Characters,Blue,Blond,Living Characters,618,May-74,1974,Marvel
Nathan Summers,Public Identity,Neutral Characters,Blue,White,Living Characters,612,Jan-86,1986,Marvel
Ted Grant,Secret Identity,,Blue,Black,Living Characters,605,"1942, January",1942,DC
Elizabeth Brant,No Dual Identity,Good Characters,Brown,Brown,Living Characters,599,Sep-63,1963,Marvel
Garfield Logan,Public Identity,Good Characters,Green,Green,Living Characters,595,"1965, November",1965,DC
Guy Gardner,Public Identity,Good Characters,Blue,Red,Living Characters,593,"1968, March",1968,DC
Richard Jones,Secret Identity,Good Characters,Brown,Brown,Living Characters,590,May-62,1962,Marvel
Victor Stone,Public Identity,Good Characters,Brown,Black,Living Characters,584,"1980, October",1980,DC
Edwin Jarvis,No Dual Identity,Good Characters,Blue,White,Living Characters,567,Nov-64,1964,Marvel
Kon-El,Secret Identity,Good Characters,Blue,Black,Living Characters,560,"1993, June",1993,DC
Ralph Dibny,Public Identity,,Blue,Red,Deceased Characters,558,"1960, May",1960,DC
Alexander Summers,Public Identity,Good Characters,Blue,Blond,Living Characters,558,Mar-69,1969,Marvel
James Olsen,Public Identity,Good Characters,Green,Red,Living Characters,557,"1986, October",1986,DC
Patricia Walker,Secret Identity,Good Characters,Blue,Red,Living Characters,550,Nov-44,1944,Marvel
John Stewart,Public Identity,Good Characters,Brown,Black,Living Characters,549,"1971, December",1971,DC
Human Torch (Android),Public Identity,Good Characters,Blue,Blond,Living Characters,548,Oct-39,1939,Marvel
Loki Laufeyson,No Dual Identity,Neutral Characters,Green,Black,Living Characters,532,Aug-49,1949,Marvel
Franklin Nelson,No Dual Identity,Good Characters,Blue,Bald,Living Characters,528,Apr-64,1964,Marvel
Brian Braddock,Public Identity,Good Characters,Blue,Blond,Living Characters,528,Oct-76,1976,Marvel
Otto Octavius,Secret Identity,Neutral Characters,Hazel,Brown,Deceased Characters,526,Jul-63,1963,Marvel
James Rhodes,Secret Identity,Good Characters,Brown,Brown,Living Characters,525,Jan-79,1979,Marvel
Joker,Secret Identity,Bad Characters,Green,Green,Living Characters,517,"1940, June",1940,DC
Timothy Dugan,Public Identity,Good Characters,Blue,Red,Deceased Characters,517,May-63,1963,Marvel
Crystalia Amaquelin,Public Identity,Good Characters,Green,Strawberry Blond,Living Characters,512,Dec-65,1965,Marvel
Samuel Wilson,Public Identity,Good Characters,Brown,Black,Living Characters,512,Sep-69,1969,Marvel
Wilson Fisk,Public Identity,Bad Characters,Blue,Bald,Living Characters,503,Jul-67,1967,Marvel
Odin Borson,Public Identity,Neutral Characters,Blue,White,Living Characters,502,Oct-62,1962,Marvel
Deadpool (Wade Wilson),Secret Identity,Neutral Characters,Brown,Bald,Living Characters,500,Feb-91,1991,Marvel
Franklin Rock,Public Identity,Good Characters,Blue,,Living Characters,492,"1959, April",1959,DC
Garth,Public Identity,Good Characters,Purple,Black,Deceased Characters,487,"1960, February",1960,DC
Dane Whitman,Secret Identity,Good Characters,Brown,Brown,Living Characters,478,Dec-67,1967,Marvel
Harold Osborn,No Dual Identity,Good Characters,Blue,Brown,Living Characters,474,Dec-65,1965,Marvel
Franklin Richards,No Dual Identity,Good Characters,Blue,Blond,Living Characters,473,Nov-68,1968,Marvel
Jessica Drew,Secret Identity,Good Characters,Green,Auburn,Living Characters,471,Feb-77,1977,Marvel
Rex Mason,Secret Identity,,Black,,Living Characters,470,"1965, January",1965,DC
Roberto da Costa,Secret Identity,Good Characters,Brown,Black,Living Characters,464,Nov-82,1982,Marvel
Rahne Sinclair,Secret Identity,Good Characters,Green,Red,Living Characters,448,Nov-82,1982,Marvel
Elizabeth Ross,Public Identity,Good Characters,Blue,Black,Living Characters,446,May-62,1962,Marvel
Zatanna Zatara,Public Identity,Good Characters,Blue,Black,Living Characters,439,"1964, November",1964,DC
Aztar,Secret Identity,,White,,Living Characters,436,"1940, February",1940,DC
Lorna Dane,Secret Identity,Good Characters,Green,Green,Living Characters,433,Oct-68,1968,Marvel
Theodore Kord,Secret Identity,,Blue,Brown,Deceased Characters,429,"1986, February",1986,DC
Blaine Colt,Public Identity,,Blue,Blond,Deceased Characters,429,,,Marvel
Michael Jon Carter,Public Identity,Good Characters,Blue,Blond,Living Characters,427,"1986, February",1986,DC
Johnathon Blaze,Secret Identity,Good Characters,Blue,Reddish Blond,Living Characters,426,Aug-72,1972,Marvel
Cassandra Sandsmark,Public Identity,Good Characters,Blue,Blond,Living Characters,423,"1996, January",1996,DC
Kent Nelson,Secret Identity,Good Characters,Blue,Blond,Deceased Characters,422,"1940, May",1940,DC
Sif,No Dual Identity,Good Characters,Blue,Black,Living Characters,422,Mar-64,1964,Marvel
Red Hulk (Thaddeus Ross),Public Identity,Neutral Characters,Blue,Black,Living Characters,415,May-62,1962,Marvel
Harvey Bullock,Public Identity,Good Characters,Brown,Black,Living Characters,413,"1974, July",1974,DC
Jubilation Lee,Secret Identity,Good Characters,Brown,Black,Living Characters,408,May-89,1989,Marvel
Volstagg,Public Identity,Good Characters,Blue,Red,Living Characters,406,Aug-65,1965,Marvel
Balder Odinson,Secret Identity,Good Characters,Blue,Brown,Deceased Characters,403,Oct-62,1962,Marvel
Rachel Roth,Secret Identity,Good Characters,Purple,Black,Living Characters,399,"1980, October",1980,DC
Helena Bertinelli,Secret Identity,Good Characters,Blue,Black,Living Characters,393,"1989, April",1989,DC
Wesley Dodds,Secret Identity,Good Characters,Brown,Brown,Deceased Characters,391,"1939, April",1939,DC
Galactus,Secret Identity,Neutral Characters,Brown,No,Living Characters,390,Mar-66,1966,Marvel
Uxas,Public Identity,Bad Characters,Red,,Deceased Characters,388,"1970, December",1970,DC
Danielle Moonstar,Secret Identity,Good Characters,Brown,Black,Living Characters,388,Nov-82,1982,Marvel
Marc Spector,Secret Identity,Good Characters,Brown,Brown,Living Characters,387,Aug-75,1975,Marvel
Nathaniel Adam,Secret Identity,Good Characters,Blue,White,Living Characters,386,"1987, March",1987,DC
Ronald Raymond,Secret Identity,Good Characters,Blue,,Living Characters,386,"1978, March",1978,DC
Gwendolyne Stacy,No Dual Identity,Good Characters,Blue,Blond,Deceased Characters,384,Dec-65,1965,Marvel
Medusalith Amaquelin,Public Identity,Good Characters,Green,Red,Living Characters,382,Mar-65,1965,Marvel
Sabretooth (Victor Creed),Secret Identity,Bad Characters,Amber,Blond,Living Characters,382,Aug-77,1977,Marvel
Illyana Rasputina,Secret Identity,Neutral Characters,Blue,Blond,Living Characters,380,May-75,1975,Marvel
Johann Shmidt,Public Identity,Bad Characters,Blue,Blond,Deceased Characters,376,Aug-41,1941,Marvel
Fandral,Secret Identity,Good Characters,Blue,Blond,Deceased Characters,375,Aug-65,1965,Marvel
Red Tornado,Secret Identity,Good Characters,Green,,Living Characters,374,"1968, August",1968,DC
Sean Cassidy,Secret Identity,Neutral Characters,Green,Strawberry Blond,Living Characters,374,Jan-67,1967,Marvel
Thomas Raymond,Secret Identity,Good Characters,Blue,Black,Living Characters,373,Sep-40,1940,Marvel
Uatu,Public Identity,Good Characters,Blue,Bald,Deceased Characters,373,Apr-63,1963,Marvel
Richard Rider,Public Identity,Good Characters,Brown,Brown,Deceased Characters,373,Sep-76,1976,Marvel
John Constantine,Public Identity,Good Characters,Blue,Blond,Living Characters,371,"1984, June",1984,DC
Hogun,Public Identity,Good Characters,Grey,Black,Living Characters,371,Aug-65,1965,Marvel
Raven Darkholme,Secret Identity,Bad Characters,Yellow,Red,Living Characters,371,Apr-78,1978,Marvel
Albert Pratt,Secret Identity,Good Characters,Blue,Red,Deceased Characters,370,"1940, October",1940,DC
Barbara Morse,Secret Identity,Good Characters,Blue,Blond,Living Characters,368,Jun-71,1971,Marvel
Blackagar Boltagon,No Dual Identity,Good Characters,Blue,Black,Living Characters,366,Dec-65,1965,Marvel
Charles McNider,Secret Identity,,Blue,Blond,Deceased Characters,361,"1941, April",1941,DC
Brunnhilde,Secret Identity,Good Characters,Blue,Blond,Living Characters,361,Dec-70,1970,Marvel
Theodore Knight,Secret Identity,Good Characters,Brown,Brown,Deceased Characters,356,"1941, April",1941,DC
Lobo,Public Identity,Neutral Characters,Red,Black,Living Characters,353,"1983, June",1983,DC
Alison Blaire,Public Identity,Good Characters,Blue,Strawberry Blond,Living Characters,353,Feb-80,1980,Marvel
Perry White,Public Identity,,Blue,Brown,Living Characters,350,"1986, October",1986,DC
Venom (Symbiote),Known to Authorities Identity,Neutral Characters,Variable,No,Living Characters,348,May-84,1984,Marvel
John Walker,Secret Identity,Good Characters,Blue,Blond,Living Characters,346,Nov-86,1986,Marvel
John Henry Irons,Public Identity,Good Characters,Brown,,Living Characters,345,"1993, June",1993,DC
Jefferson Pierce,Secret Identity,Good Characters,Brown,,Living Characters,344,"1977, April",1977,DC
Greer Grant,Public Identity,Good Characters,Green,Black,Living Characters,342,Nov-72,1972,Marvel
Karla Sofen,Public Identity,Neutral Characters,Blue,Blond,Living Characters,340,Dec-75,1975,Marvel
William Baker,Secret Identity,Neutral Characters,Brown,Brown,Living Characters,338,Sep-63,1963,Marvel
Slade Wilson,Secret Identity,Neutral Characters,Blue,White,Living Characters,336,"1980, December",1980,DC
Phantom Stranger,Secret Identity,,Black,Black,Living Characters,335,"1952, September",1952,DC
Sharon Carter,Public Identity,Good Characters,Blue,Blond,Living Characters,332,Mar-66,1966,Marvel
Felicia Hardy,Public Identity,Bad Characters,,Blond,Living Characters,332,Jul-79,1979,Marvel
Cain Marko,Public Identity,Neutral Characters,Blue,Red,Living Characters,329,Jul-65,1965,Marvel
Monica Rambeau,Secret Identity,Good Characters,Brown,Black,Living Characters,327,,,Marvel
Beatriz da Costa,Secret Identity,Good Characters,Green,Green,Living Characters,325,"1982, June",1982,DC
Maria Hill,No Dual Identity,Good Characters,Brown,Black,Living Characters,325,05-Apr,2005,Marvel
Ben Urich,No Dual Identity,Good Characters,Brown,Brown,Living Characters,324,Jul-78,1978,Marvel
Heather Douglas,Secret Identity,Good Characters,Blue,Bald,Living Characters,323,Jan-73,1973,Marvel
William Batson,Secret Identity,Good Characters,Blue,Black,Living Characters,321,"1940, February",1940,DC
Millicent Collins,Public Identity,,Blue,Blond,Living Characters,321,Dec-45,1945,Marvel
James Proudstar,Secret Identity,Good Characters,Brown,Black,Living Characters,320,Jun-84,1984,Marvel
Carol Ferris,Public Identity,Neutral Characters,Blue,Black,Living Characters,319,"1959, October",1959,DC
Angelica Jones,Known to Authorities Identity,Good Characters,Green,Red,Living Characters,319,May-85,1985,Marvel
Edward Brock,Public Identity,Neutral Characters,Black,Blond,Living Characters,318,Sep-86,1986,Marvel
MacDonald Gargan,Secret Identity,Bad Characters,Brown,Bald,Living Characters,317,Dec-64,1964,Marvel
Mephisto,No Dual Identity,Bad Characters,White,Black,Living Characters,316,Dec-68,1968,Marvel
Tabitha Smith,Secret Identity,Good Characters,Blue,Blond,Living Characters,316,Nov-85,1985,Marvel
Clifford Steele,Public Identity,,Photocellular,,Living Characters,314,"1963, June",1963,DC
Jean-Paul Beaubier,Secret Identity,Good Characters,Blue,Black,Living Characters,313,Apr-79,1979,Marvel
Etrigan,Public Identity,Neutral Characters,Red,,Living Characters,311,"1972, September",1972,DC
Daniel Ketch,Secret Identity,Neutral Characters,Green,Brown,Living Characters,311,May-90,1990,Marvel
Neena Thurman,Secret Identity,Good Characters,Blue,Black,Living Characters,310,Mar-92,1992,Marvel
Jennifer-Lynn Hayden,Secret Identity,Good Characters,Green,Green,Living Characters,309,"1983, September",1983,DC
Swamp Thing,Public Identity,Good Characters,Red,,Living Characters,309,"1972, November",1972,DC
Renee Montoya,Secret Identity,Good Characters,Brown,Black,Living Characters,308,"1992, March",1992,DC
Harvey Dent,Public Identity,Bad Characters,Blue,Brown,Living Characters,306,"1942, August",1942,DC
Wong,No Dual Identity,Good Characters,Brown,Bald,Living Characters,306,Jul-63,1963,Marvel
Thanos,No Dual Identity,Bad Characters,Red,No,Living Characters,306,Feb-73,1973,Marvel
Courtney Whitmore,Secret Identity,Good Characters,Blue,Blond,Living Characters,305,"1999, July",1999,DC
Kendra Saunders,Secret Identity,Good Characters,Hazel,Brown,Deceased Characters,301,"1999, August",1999,DC
Michael Holt,Secret Identity,,Brown,Black,Living Characters,300,"1997, June",1997,DC
Kilowog,Public Identity,Good Characters,Red,,Living Characters,299,"1986, June",1986,DC
Kara Zor-El,Secret Identity,Good Characters,Blue,Blond,Living Characters,297,"2004, May",2004,DC
Shang-Chi,No Dual Identity,Good Characters,Brown,Black,Living Characters,296,Dec-73,1973,Marvel
Alicia Masters,No Dual Identity,Good Characters,Brown,Strawberry Blond,Living Characters,293,Nov-62,1962,Marvel
Robert Baldwin,Secret Identity,Good Characters,Blue,Blond,Living Characters,293,Sep-88,1988,Marvel
Jonah Hex,Public Identity,Good Characters,Blue,Blond,Deceased Characters,291,"1972, March",1972,DC
Vance Astrovik,Public Identity,Good Characters,Hazel,Brown,Living Characters,290,Jul-75,1975,Marvel
Wendell Vaughn,Secret Identity,Good Characters,Blue,Blond,Living Characters,290,Jan-78,1978,Marvel
Rex Tyler,Secret Identity,Good Characters,Blue,Brown,Living Characters,288,"1940, March",1940,DC
Pamela Isley,Secret Identity,Neutral Characters,Green,Red,Living Characters,286,"1966, June",1966,DC
Pieter Cross,Secret Identity,Good Characters,Blue,Black,Living Characters,284,"1999, February",1999,DC
Chili Storm,Public Identity,,Green,Red,Living Characters,284,Oct-48,1948,Marvel
Abner Jenkins,Public Identity,Good Characters,Brown,Brown,Living Characters,284,Aug-64,1964,Marvel
Jonathan L. Thunder,Secret Identity,Good Characters,Blue,Blond,Living Characters,282,"1940, January",1940,DC
Elektra Natchios,Secret Identity,Neutral Characters,Blue,Black,Living Characters,280,Jan-81,1981,Marvel
Bullseye (Lester),Secret Identity,Bad Characters,Blue,Blond,Living Characters,277,Mar-76,1976,Marvel
Forge,Public Identity,Good Characters,Brown,Black,Living Characters,276,Aug-84,1984,Marvel
Virginia Potts,No Dual Identity,Good Characters,Green,Red,Living Characters,274,Sep-63,1963,Marvel
Walter Langkowski,Secret Identity,Good Characters,Blue,Blond,Living Characters,273,Apr-79,1979,Marvel
Gorgon,Secret Identity,Good Characters,Brown,Brown,Living Characters,272,Nov-65,1965,Marvel
James Madrox,Public Identity,Good Characters,Brown,Brown,Living Characters,271,Feb-75,1975,Marvel
Heimdall,Secret Identity,Good Characters,Grey,Brown,Living Characters,270,Oct-62,1962,Marvel
Mari McCabe,Secret Identity,Good Characters,Amber,Brown,Living Characters,268,"1981, July",1981,DC
Scott Free,Secret Identity,Good Characters,Blue,Black,Living Characters,268,"1971, April",1971,DC
Theresa Cassidy,Secret Identity,Good Characters,Green,Red,Living Characters,267,Apr-81,1981,Marvel
Martha Clark,Public Identity,Good Characters,Blue,White,Living Characters,266,"1986, October",1986,DC
Laura Kinney,Secret Identity,Good Characters,Green,Black,Living Characters,265,04-Feb,2004,Marvel
Arthur Douglas,Secret Identity,Good Characters,Blue,Brown,Living Characters,264,Feb-73,1973,Marvel
Peter Parker (Ben Reilly),Secret Identity,Good Characters,Hazel,Blond,Deceased Characters,263,Oct-75,1975,Marvel
Boston Brand,Secret Identity,Good Characters,Blue,,Deceased Characters,262,"1967, October",1967,DC
Daniel Turpin,Public Identity,,Brown,Brown,Deceased Characters,261,"1942, June",1942,DC
Warlock (Technarch),Secret Identity,Good Characters,Black,No,Living Characters,261,Aug-84,1984,Marvel
Kevin Plunder,Public Identity,Good Characters,Blue,Blond,Living Characters,260,Mar-65,1965,Marvel
Leonard Samson,Public Identity,Good Characters,Brown,Green,Deceased Characters,260,Jul-71,1971,Marvel
Melissa Gold,Secret Identity,Good Characters,Green,Blond,Living Characters,260,Aug-79,1979,Marvel
Lockheed,Secret Identity,Good Characters,,No,Living Characters,260,Feb-83,1983,Marvel
Mercedes Knight,Public Identity,Good Characters,Brown,Black,Living Characters,259,Mar-72,1972,Marvel
Moira Kinross,No Dual Identity,Good Characters,Blue,Brown,Deceased Characters,259,Dec-75,1975,Marvel
Karnak,Secret Identity,Good Characters,Blue,Black,Deceased Characters,257,Dec-65,1965,Marvel
Namorita Prentiss,Public Identity,Good Characters,Blue,Blond,Deceased Characters,257,Jun-72,1972,Marvel
John Zatara,Secret Identity,Good Characters,Blue,Black,Deceased Characters,256,"1938, June",1938,DC
Lockjaw,Secret Identity,Good Characters,Brown,Brown,Living Characters,255,Dec-65,1965,Marvel
Jonathan Kent,Public Identity,Good Characters,Blue,White,Deceased Characters,254,"1986, October",1986,DC
Oswald Cobblepot,Public Identity,,Blue,Black,Living Characters,253,"1941, December",1941,DC
Tatsu Yamashiro,Secret Identity,Good Characters,Brown,Black,Living Characters,252,"1983, July",1983,DC
Adam Warlock,No Dual Identity,Good Characters,White,Gold,Living Characters,252,Sep-67,1967,Marvel
Heather McNeil,Public Identity,Neutral Characters,Green,Red,Living Characters,252,Nov-80,1980,Marvel
Lawrence Trainor,Secret Identity,Good Characters,Blue,Blond,Living Characters,250,"1963, June",1963,DC
Curtis Connors,Public Identity,Neutral Characters,Red,No,Living Characters,250,Nov-63,1963,Marvel
Theodore Sallis,Secret Identity,Good Characters,Red,No,Living Characters,249,May-71,1971,Marvel
Adrian Toomes,Public Identity,Bad Characters,Hazel,Bald,Living Characters,248,May-63,1963,Marvel
Amora,Public Identity,Bad Characters,Green,Blond,Living Characters,247,Apr-64,1964,Marvel
Clea,No Dual Identity,Good Characters,Blue,White,Living Characters,247,Nov-64,1964,Marvel
Albert Rothstein,Secret Identity,Good Characters,Blue,,Living Characters,245,"1983, September",1983,DC
Brion Markov,Secret Identity,Good Characters,Green,Strawberry Blond,Living Characters,245,"1983, July",1983,DC
Mar-Vell,Public Identity,Good Characters,Blue,Blond,Deceased Characters,245,Dec-67,1967,Marvel
Eugene Judd,Public Identity,Good Characters,Brown,Bald,Living Characters,245,Aug-83,1983,Marvel
Daimon Hellstrom,No Dual Identity,Neutral Characters,Red,Red,Living Characters,242,Sep-73,1973,Marvel
Sanderson Hawkins,Secret Identity,Good Characters,Blue,Blond,Living Characters,241,"1941, December",1941,DC
John Jonah Jameson III,No Dual Identity,Good Characters,Brown,Auburn,Living Characters,240,Mar-63,1963,Marvel
Triton,No Dual Identity,Good Characters,Green,No,Living Characters,240,Dec-65,1965,Marvel
Meggan Puceanu,Secret Identity,Good Characters,,,Living Characters,240,Dec-83,1983,Marvel
Robert Reynolds,Secret Identity,Neutral Characters,Blue,Blond,Living Characters,240,Sep-00,2000,Marvel
Jonathan Chambers,Secret Identity,Good Characters,Blue,Blond,Deceased Characters,239,"1941, September",1941,DC
Aleksei Sytsevich,Secret Identity,Bad Characters,Brown,Brown,Deceased Characters,239,Oct-66,1966,Marvel
Santo Vaccarro,Secret Identity,Good Characters,White,No,Living Characters,238,03-Sep,2003,Marvel
Orion,Public Identity,Good Characters,Blue,Strawberry Blond,Deceased Characters,237,"1971, March",1971,DC
Thaal Sinestro,Public Identity,Neutral Characters,Yellow,Black,Living Characters,237,"1961, August",1961,DC
Jonathan Clay,Secret Identity,Good Characters,Blue,Red,Living Characters,237,Aug-60,1960,Marvel
Ares,Secret Identity,Neutral Characters,Brown,Brown,Deceased Characters,236,Apr-49,1949,Marvel
Sersi,Secret Identity,Good Characters,Blue,Black,Living Characters,236,Sep-76,1976,Marvel
Guido Carosella,Secret Identity,Neutral Characters,Brown,Bald,Living Characters,236,Jul-85,1985,Marvel
Cassandra Cain,Secret Identity,Good Characters,Brown,Black,Living Characters,235,"1999, July",1999,DC
Jason Todd,Secret Identity,Neutral Characters,Blue,Black,Living Characters,235,"1987, June",1987,DC
Susan Dearbon,Public Identity,Good Characters,,Black,Deceased Characters,235,"1961, March",1961,DC
Jean-Paul Valley,Secret Identity,Good Characters,Blue,Blond,Deceased Characters,234,"1992, October",1992,DC
